concept,instrument,class,year,trades,expR,totR,pf
A3 Donchian H4 Swing,GBPUSD,forex,2018,89,-0.030306997593164978,-2.697322785791683,0.94729766173389
A3 Donchian H4 Swing,GBPUSD,forex,2019,81,0.16410517474734046,13.292519154534578,1.3008439056486043
A3 Donchian H4 Swing,GBPUSD,forex,2020,74,0.13214248772805315,9.778544091875933,1.2587031174054697
TSMomentum,AUDUSD,forex,2015,31,0.1414711517521171,4.385605704315631,1.2992109407735326
TSMomentum,AUDUSD,forex,2016,51,-0.259403459402164,-13.229576429510365,0.6271162561172773
TSMomentum,AUDUSD,forex,2017,45,-0.043928927704126625,-1.9768017466856982,0.9222519203532887
TSMomentum,AUDUSD,forex,2018,44,0.16019279221185842,7.04848285732177,1.3300401133220021
TSMomentum,AUDUSD,forex,2019,49,0.03576005217017675,1.7522425563386608,1.0658887727666866
TSMomentum,AUDUSD,forex,2020,38,0.44395673810440167,16.870356047967263,1.9789971802609638
TurnOfMonth,AUDUSD,forex,2015,12,-0.02137555241966037,-0.25650662903592447,0.9188593835997706
TurnOfMonth,AUDUSD,forex,2016,12,0.20295327970839014,2.4354393565006816,1.9792186541630366
TurnOfMonth,AUDUSD,forex,2017,12,-0.3057295669653951,-3.6687548035847413,0.34992307717541227
TurnOfMonth,AUDUSD,forex,2018,12,-0.15727017375122096,-1.8872420850146516,0.5359985434222203
TurnOfMonth,AUDUSD,forex,2019,12,-0.0026293654120961157,-0.03155238494515339,0.9916711879383572
TurnOfMonth,AUDUSD,forex,2020,12,0.2895241843276904,3.474290211932285,2.1661458831462532
ShortTermReversal,AUDUSD,forex,2015,38,-0.04604038397069863,-1.7495345908865478,0.8984065362511284
ShortTermReversal,AUDUSD,forex,2016,48,-0.23399700399246615,-11.231856191638375,0.642301824074993
ShortTermReversal,AUDUSD,forex,2017,50,0.03836097467202479,1.9180487336012395,1.0735611436678494
ShortTermReversal,AUDUSD,forex,2018,42,0.20970324439138166,8.80753626443803,1.4800174994807318
ShortTermReversal,AUDUSD,forex,2019,48,-0.3494370864557603,-16.772980149876496,0.5026402049687936
ShortTermReversal,AUDUSD,forex,2020,40,-0.026252929247113244,-1.0501171698845297,0.9506475865947435
VolContraction,AUDUSD,forex,2015,31,-0.09272027457455352,-2.874328511811159,0.8589805861783932
VolContraction,AUDUSD,forex,2016,29,-0.11428380496259613,-3.3142303439152876,0.8296142999407686
VolContraction,AUDUSD,forex,2017,30,-0.1052004746120321,-3.156014238360963,0.8377094652403027
VolContraction,AUDUSD,forex,2018,26,-0.5129501461782804,-13.336703800635291,0.2763169685409884
VolContraction,AUDUSD,forex,2019,32,0.010473344791615533,0.33514703333169704,1.018023369528936
VolContraction,AUDUSD,forex,2020,26,-0.35138470584467335,-9.136002351961507,0.4730517526253789
A3 Donchian H4 Swing,AUDUSD,forex,2015,77,-0.4179997679524555,-32.18598213233908,0.449464202905107
A3 Donchian H4 Swing,AUDUSD,forex,2016,82,-0.25143907523384107,-20.618004169174966,0.6354147177771419
A3 Donchian H4 Swing,AUDUSD,forex,2017,84,-0.18382118283984927,-15.440979358547338,0.7212642899588187
A3 Donchian H4 Swing,AUDUSD,forex,2018,80,-0.06126817942751441,-4.901454354201153,0.9033904434677212
A3 Donchian H4 Swing,AUDUSD,forex,2019,75,-0.017570568050397244,-1.3177926037797933,0.9748084426651061
A3 Donchian H4 Swing,AUDUSD,forex,2020,88,-0.05431136513002813,-4.779400131442475,0.9091280022374775
TSMomentum,USDCAD,forex,2015,32,0.08936672346426192,2.8597351508563813,1.1800961413044087
TSMomentum,USDCAD,forex,2016,44,-0.03621512859992545,-1.5934656583967197,0.9344957604111161
TSMomentum,USDCAD,forex,2017,46,-0.20639052609667985,-9.493964200447273,0.6981574742444044
TSMomentum,USDCAD,forex,2018,50,-0.12316019421612324,-6.158009710806162,0.7909679799084021
TSMomentum,USDCAD,forex,2019,48,-0.4898567277114609,-23.51312293015012,0.34308411506280195
TSMomentum,USDCAD,forex,2020,42,0.09205518984433905,3.86631797346224,1.1515437691625685
TurnOfMonth,USDCAD,forex,2015,11,0.05188041928007243,0.5706846120807967,1.2141020533000093
TurnOfMonth,USDCAD,forex,2016,12,-0.2151153705562666,-2.581384446675199,0.4919310493710897
TurnOfMonth,USDCAD,forex,2017,12,0.12312435162970604,1.4774922195564726,1.451703211670002
TurnOfMonth,USDCAD,forex,2018,12,0.20763088096400506,2.4915705715680607,1.837837570428626
TurnOfMonth,USDCAD,forex,2019,12,-0.18084180644934836,-2.1701016773921804,0.5846704647022168
TurnOfMonth,USDCAD,forex,2020,12,-0.3477303340020493,-4.172764008024592,0.3116031578940746
ShortTermReversal,USDCAD,forex,2015,27,0.36632424903492056,9.890754723942855,1.8128537592259173
ShortTermReversal,USDCAD,forex,2016,53,-0.20858420650752815,-11.054962944898993,0.6588014645157463
ShortTermReversal,USDCAD,forex,2017,54,-0.007854480730923027,-0.42414195946984345,0.9865202873137124
ShortTermReversal,USDCAD,forex,2018,56,-0.03039513052844586,-1.702127309592968,0.9442416323158264
ShortTermReversal,USDCAD,forex,2019,53,-0.3138378969956823,-16.633408540771164,0.5215426272069797
ShortTermReversal,USDCAD,forex,2020,51,0.12909926104387007,6.584062313237374,1.2697045678133387
VolContraction,USDCAD,forex,2015,31,-0.0911489675471366,-2.8256179939612345,0.8456132368076236
VolContraction,USDCAD,forex,2016,26,-0.023718481982559717,-0.6166805315465527,0.9595553483666946
VolContraction,USDCAD,forex,2017,31,0.06092438088363204,1.8886558073925934,1.1155003060962454
VolContraction,USDCAD,forex,2018,29,-0.0003801759507679106,-0.011025102572269407,0.9993651681116373
VolContraction,USDCAD,forex,2019,35,-0.20840136185046865,-7.294047664766403,0.704939088763326
VolContraction,USDCAD,forex,2020,24,-0.33332902565019235,-7.999896615604617,0.44169597059703575
