hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
20,short,0.0,0.1,0.05,,53,0.558611988412917,0.00667491318278568,-0.03379421634749813,1.537794072207816
60,long,0.1,0.05,0.15,,78,0.5569810406187898,0.010509019003223097,-0.030229842696872122,1.5333042619246269
60,long,0.1,0.1,0.15,,78,0.5569810406187898,0.02075649093711962,-0.06006571850254394,1.5333042619246269
60,long,0.1,0.2,0.15,,78,0.5569810406187898,0.040428567706566776,-0.11848684317613334,1.5333042619246269
90,both,0.05,0.2,,,145,0.5558376472935972,0.07151968426069777,-0.22445638935057954,1.5301566325966582
90,both,0.05,0.05,,,145,0.5558376472935972,0.019357550405214807,-0.059637578092281984,1.5301566325966582
90,both,0.05,0.1,,,145,0.5558376472935972,0.03777173488157537,-0.11691819838689799,1.5301566325966582
60,both,0.0,0.2,,,221,0.5474047017935811,0.07106303814728587,-0.27087123257566703,1.5069417108438683
60,both,0.0,0.05,,,221,0.5474047017935811,0.01929702867677796,-0.07460566226266518,1.5069417108438683
60,both,0.0,0.1,,,221,0.5474047017935811,0.03761510700999837,-0.14446672118423753,1.5069417108438683
60,both,0.05,0.05,,,145,0.5270375952410681,0.014265207761247511,-0.06015778818498907,1.450873426642764
60,both,0.05,0.1,,,145,0.5270375952410681,0.027951303120494986,-0.11767773449472962,1.450873426642764
60,both,0.05,0.2,,,145,0.5270375952410681,0.053475105855037564,-0.2249872597766578,1.450873426642764
40,short,0.0,0.05,0.05,0.1,53,0.5238307413902934,0.0035997381601062806,-0.01669426439300825,1.4420453296014366
40,short,0.0,0.1,0.05,0.1,53,0.5238307413902934,0.007164351203376995,-0.03320464964452263,1.4420453296014366
40,short,0.0,0.2,0.05,0.1,53,0.5238307413902934,0.014186205979826783,-0.06567441245584071,1.4420453296014366
40,short,0.02,0.1,0.05,,44,0.5237167544064367,0.008346842698240264,-0.0318151257191277,1.4417315366436776
40,short,0.02,0.05,0.05,,44,0.5237167544064367,0.004197371138749073,-0.015960375984850894,1.4417315366436776
40,short,0.02,0.2,0.05,,44,0.5237167544064367,0.01649922610858723,-0.06319647872063194,1.4417315366436776
60,both,0.1,0.2,0.1,,101,0.5190265618343359,0.03596137550229228,-0.2395614626172149,1.4288199799916597
60,both,0.1,0.1,0.1,,101,0.5190265618343359,0.018504191382541224,-0.12691457426390673,1.4288199799916597
60,both,0.1,0.05,0.1,,101,0.5190265618343359,0.00937884551691548,-0.06532965107150435,1.4288199799916597
90,both,0.02,0.05,,,190,0.5133317446909129,0.02167997985523873,-0.09541270614291997,1.4131428083105713
90,both,0.02,0.2,,,190,0.5133317446909129,0.0772332815236001,-0.3396447965587539,1.4131428083105713
90,both,0.02,0.1,,,190,0.5133317446909129,0.041847355279814646,-0.18358519519868688,1.4131428083105713
60,both,0.02,0.1,,,190,0.5030282634444416,0.031887644628726175,-0.1531843491847853,1.3847785184052572
60,both,0.02,0.05,,,190,0.5030282634444416,0.016385336922002836,-0.0789870322693379,1.3847785184052572
60,both,0.02,0.2,,,190,0.5030282634444416,0.06005731416605764,-0.2878342092731909,1.3847785184052572
40,short,0.02,0.05,0.1,0.05,44,0.5021307302964167,0.002005526411010594,-0.013988364744148551,1.3823077136547826
40,short,0.02,0.2,0.1,0.05,44,0.5021307302964167,0.00794914692245885,-0.054995878954093635,1.3823077136547826
40,short,0.02,0.1,0.1,0.05,44,0.5021307302964167,0.003998953028663044,-0.027816256328017097,1.3823077136547826
60,short,0.02,0.05,0.1,0.05,44,0.5021307302964167,0.002005526411010594,-0.013988364744148551,1.3823077136547826
60,short,0.02,0.1,0.1,0.05,44,0.5021307302964167,0.003998953028663044,-0.027816256328017097,1.3823077136547826
90,short,0.02,0.05,0.1,0.05,44,0.5021307302964167,0.002005526411010594,-0.013988364744148551,1.3823077136547826
60,short,0.02,0.2,0.1,0.05,44,0.5021307302964167,0.00794914692245885,-0.054995878954093635,1.3823077136547826
90,short,0.02,0.2,0.1,0.05,44,0.5021307302964167,0.00794914692245885,-0.054995878954093635,1.3823077136547826
90,short,0.02,0.1,0.1,0.05,44,0.5021307302964167,0.003998953028663044,-0.027816256328017097,1.3823077136547826
90,long,0.1,0.1,,,78,0.5013628166289034,0.03478551313157574,-0.08388958725940099,1.3801937363138659
90,long,0.1,0.2,,,78,0.5013628166289034,0.06505613083357464,-0.16759365772972068,1.3801937363138659
90,long,0.1,0.05,,,78,0.5013628166289034,0.017929274169199427,-0.04250067571143834,1.3801937363138659
90,long,0.05,0.2,0.1,,116,0.49749815518643536,0.057487558499199176,-0.18258936670512327,1.3695547711992744
90,long,0.05,0.1,0.1,,116,0.49749815518643536,0.03046327747383426,-0.09423185882953422,1.3695547711992744
90,long,0.05,0.05,0.1,,116,0.49749815518643536,0.015642837789709096,-0.04784546606296236,1.3695547711992744
60,short,0.0,0.05,0.05,,53,0.4776228747358738,0.004567920584497509,-0.02390603367053512,1.3148404272640906
60,short,0.0,0.2,0.05,,53,0.4776228747358738,0.0178289376523737,-0.09336437179957646,1.3148404272640906
60,short,0.0,0.1,0.05,,53,0.4776228747358738,0.009062859092750841,-0.04743533402736977,1.3148404272640906
40,both,0.1,0.1,0.1,,101,0.46881775594400554,0.014671411334245876,-0.09820847004938005,1.2906009555662297
40,both,0.1,0.05,0.1,,101,0.46881775594400554,0.007439245773117609,-0.05012201519304271,1.2906009555662297
40,both,0.1,0.2,0.1,,101,0.46881775594400554,0.02849442758899201,-0.18894041669420136,1.2906009555662297
90,short,0.02,0.2,0.05,0.05,44,0.46844905641062196,0.0074567496024773305,-0.051851518762473736,1.2895859684756843
60,short,0.02,0.2,0.05,0.05,44,0.46844905641062196,0.0074567496024773305,-0.051851518762473736,1.2895859684756843
40,short,0.02,0.1,0.05,0.05,44,0.46844905641062196,0.003754144924747571,-0.026228991778808664,1.2895859684756843
90,short,0.02,0.1,0.05,0.05,44,0.46844905641062196,0.003754144924747571,-0.026228991778808664,1.2895859684756843
60,short,0.02,0.1,0.05,0.05,44,0.46844905641062196,0.003754144924747571,-0.026228991778808664,1.2895859684756843
90,short,0.02,0.05,0.05,0.05,44,0.46844905641062196,0.0018834711388904246,-0.013191060454905812,1.2895859684756843
40,short,0.02,0.05,0.05,0.05,44,0.46844905641062196,0.0018834711388904246,-0.013191060454905812,1.2895859684756843
40,short,0.02,0.2,0.05,0.05,44,0.46844905641062196,0.0074567496024773305,-0.051851518762473736,1.2895859684756843
60,short,0.02,0.05,0.05,0.05,44,0.46844905641062196,0.0018834711388904246,-0.013191060454905812,1.2895859684756843
90,long,0.1,0.1,0.05,,78,0.45468815448268746,0.01417028827793354,-0.054007553931826435,1.2517038000798126
90,long,0.1,0.05,0.05,,78,0.45468815448268746,0.007189345203885811,-0.02731958688820757,1.2517038000798126
90,long,0.1,0.2,0.05,,78,0.45468815448268746,0.027490343149789043,-0.10553303812417436,1.2517038000798126
40,both,0.0,0.05,,,221,0.4545841274734428,0.012042571399153212,-0.07883318809489637,1.2514174257779997
40,both,0.0,0.2,,,221,0.4545841274734428,0.04442413414221402,-0.2851846703606249,1.2514174257779997
40,both,0.0,0.1,,,221,0.4545841274734428,0.023476275423848225,-0.15247293381938243,1.2514174257779997
40,short,0.0,0.2,0.05,0.05,53,0.45106749765926085,0.008008462130507432,-0.05556403742452065,1.2417365514062153
90,short,0.0,0.2,0.05,0.05,53,0.45106749765926085,0.008008462130507432,-0.05556403742452065,1.2417365514062153
40,short,0.0,0.1,0.05,0.05,53,0.45106749765926085,0.0040371559502860865,-0.028104059088212563,1.2417365514062153
90,short,0.0,0.1,0.05,0.05,53,0.45106749765926085,0.0040371559502860865,-0.028104059088212563,1.2417365514062153
60,short,0.0,0.1,0.05,0.05,53,0.45106749765926085,0.0040371559502860865,-0.028104059088212563,1.2417365514062153
60,short,0.0,0.05,0.05,0.05,53,0.45106749765926085,0.0020267478180096,-0.01413319267690094,1.2417365514062153
60,short,0.0,0.2,0.05,0.05,53,0.45106749765926085,0.008008462130507432,-0.05556403742452065,1.2417365514062153
90,short,0.0,0.05,0.05,0.05,53,0.45106749765926085,0.0020267478180096,-0.01413319267690094,1.2417365514062153
40,short,0.0,0.05,0.05,0.05,53,0.45106749765926085,0.0020267478180096,-0.01413319267690094,1.2417365514062153
60,both,0.1,0.05,0.15,,101,0.450374953056183,0.008521566965971061,-0.08011495536364033,1.2398300563659308
60,both,0.1,0.1,0.15,,101,0.450374953056183,0.01673858160046371,-0.1546421182201998,1.2398300563659308
60,both,0.1,0.2,0.15,,101,0.450374953056183,0.0322239756341236,-0.2881946549384259,1.2398300563659308
60,both,0.1,0.2,0.05,,101,0.44907596116439147,0.020679388747464778,-0.11293422475180859,1.2362540822148598
60,both,0.1,0.05,0.05,,101,0.44907596116439147,0.005348560302561811,-0.02926130578615438,1.2362540822148598
